,city,city_ascii,lat,lng,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
0,Quezon City,Quezon City,14.65,121.0475,0.0,868.5791282785538,978.3458963310325,8.33743829432522,563.7836205825639,15.67122178407402,14.457843705175156,10.429690507115655,790.2789695580614,9.144952120660806,1050.0121388633984,17.65095957197925,10.74789535768911,487.68727461283544,467.15275335086267,30.023836301157644,575.9861227808751,74.3620123279836,5.647942085254239,12.237954988926806,8.008159508182313,105.22809081215686,9.478471078581602,800.7488952649063,201.86642298061605,573.2548756700647,794.5362741316706,57.8423428147664,91.32344520188882,257.2826831670264,897.0084790096719,599.3111774818525,954.3825607466507,101.07017630856573,33.264988731804394,84.92569473745212,571.9897078436625,11.532005377709782,559.1788447229271,45.364302352145046,802.0953734995845,335.2666854936853,818.9686719067647,848.2103422723756,996.1211174751402,369.80031484498113,387.099255321108,172.75858551632672,724.9877565735228,337.47708620574844,957.3726955619804,292.0845972303583,232.04776049649817,1026.1292879734026,138.17818121474892,718.8914852283912,207.14318803422685,961.8501221244715,642.6112234796094,889.7181667019212,5.450503444383198,232.4919123197241,1043.1344020606357,897.4267195744567,1078.833872586368,214.06443239064424,397.45558154479266,175.26517384171527,523.368967751203,380.8226175189663,55.76860493082585,455.3484909434214,972.4837942788158,781.8760573152273,357.1718757045214,855.7943103276139,1057.3232829683845,650.4220509997612,949.6921054110114,784.7253331017465,363.22431762376465,748.6704316826855,583.1726581582473,203.78267883755478,445.0841573535491,835.2655610170937,502.25931685763805,972.0855481683632,157.88870944109027,137.34723552526202,332.77843050370575,331.18756008867757,792.795159472974,165.95589394742515,99.2871737087136,135.05960446456453,721.1227559702498,268.82676772461406,480.8008213746491,213.01238447378827,667.6858806342264,271.41977043149905,238.92706097920947,375.4402065914482,652.2960883568709,308.70414806198494,307.71176595583944,698.5138088534003,64.51022123907578,1028.2362397465768
1,Zamboanga City,Zamboanga City,6.9042,122.0761,868.5791282785538,0.0,389.3654919775154,869.7128169041553,422.0419590931468,859.6065762042217,854.2148544472341,858.3059081510372,333.38018958833135,875.0676637610395,352.7505696409776,852.9620290419797,858.6726515800751,430.33098251835094,427.7529876391307,838.7883869638998,431.30471633268724,930.8937735607324,867.8571437272022,858.2511893159021,861.1145118857997,967.9933826361221,870.9656675348048,444.314820542123,1069.437468567802,432.0150827664731,281.3342778928133,916.2871387414922,779.0448139142632,757.0505305847629,242.44871807469542,483.7560851207446,416.1068348382223,782.8218703557436,893.5057915897771,902.832241823911,579.1908115641517,871.9844695466336,534.5719688462311,830.6626050172821,181.7582833043958,715.5490622317963,272.4740024945504,364.63690247918817,361.86543813447787,707.2382271898243,526.2080936876381,1033.7273692153246,494.4283405532098,1191.3882833807422,332.7980003664195,1139.3390562436196,1088.5225677555995,458.2374995268104,730.4634265401924,233.3181417903803,1074.7765570879276,155.70947418588912,299.9527391373857,25.54990369841666,863.7590140730719,1097.0859612433903,394.618348932836,234.75028335044053,329.1375736277573,807.46320246093,1266.019646229727,1032.927038610881,623.3175389434198,618.99771014442,880.9399888968594,682.304066091102,280.3520066678105,112.70427603485386,535.0414529051315,464.02950624463875,365.74841774458906,470.83369093212406,435.9646426344003,453.122034348618,778.7878491749884,258.4304162095991,640.0195208990204,1069.5323305850993,427.14598404045796,514.3120508996803,581.5168835015683,299.87033473431126,728.357343258458,964.3611506055734,1200.574260926183,1199.7626446767981,228.80928723757444,721.075450216021,966.5599524782963,986.1186048031155,390.82994398536454,628.1815689043772,414.9665129028749,1069.8463247373227,302.4093702334113,1138.8796298145169,1104.9519208075994,1240.2344962643176,1506.2676180375327,779.2823562997519,1171.2169148987407,529.2423875359459,806.6568316339266,330.12947137684796
2,Davao,Davao,7.07,125.6,978.3458963310325,389.3654919775154,0.0,982.666399560331,414.6514831982248,964.9735796391808,965.8427724257895,968.2109749151585,188.5085349631731,986.8570170155755,115.82203052147402,967.3260832709844,970.9301618480158,495.47472345970834,524.8658904097902,952.5923127884489,403.66272438187184,1051.4555903191795,975.4498790229107,971.4994833130003,972.6596702134403,1083.423254764179,984.1762249998458,208.91836019761467,1172.7737734838136,406.3090483497764,196.9041136101378,1034.9877489198218,904.2749149865506,775.1083915097071,149.8783253223388,810.2066943273811,47.85570915883,878.0425608622461,1009.9065042812799,1039.8460343172626,468.3355497623008,985.8398033955011,451.52063210110487,953.6696318323819,252.97192915513654,704.2202827045726,178.2629348956929,131.29686974270834,45.02985063609518,679.3062724012349,591.7767339260031,1150.5882300040653,302.63390780866564,1245.2105713088076,56.76431280734915,1190.917866570074,1155.6680223436163,70.53061688199574,855.1429608940786,300.65561737406136,1177.6542292920317,521.9064331452927,354.508474164575,402.8316432104612,974.9402421387689,1207.0435605012422,73.31694140147161,156.80395154784327,683.0711295406943,834.8051174014016,1350.9419224155124,1153.577162988898,529.6462010297018,619.1301205441741,1010.9627889640761,612.9463449061773,120.75631573289513,341.5579954955957,625.5919868846619,174.83040273385146,113.0281341083979,350.10305240830235,71.47958001005817,228.0798041116891,739.2125841987612,252.79742031224518,505.0783160494419,1152.7717447065909,573.0031041537103,232.896802002903,517.1120945723773,98.18926823258863,820.5146952039137,1103.917704700665,1297.7140574117655,1289.4419975531234,226.3638138004253,876.2551322358818,1062.738842638133,1061.4053603984034,261.03825894327383,709.5930329300975,512.5297744171185,1139.476273042669,323.2409137933521,1222.0062007542228,1185.985230689138,1308.6515345057646,1538.307835601412,766.499568689759,1241.5197523161717,345.8337772057418,914.4709618428684,112.8579295019752
3,Caloocan City,Caloocan City,14.65,120.97,8.33743829432522,869.7128169041553,982.666399560331,0.0,568.2051914573084,23.37182020786732,16.824701678387413,15.177726776694758,794.5006268390143,5.662848873748053,1053.6723106133918,16.750848837385245,11.75667833232401,491.30479845433047,470.1895351234586,31.2332984729925,580.6274992715757,69.07068072094928,13.985380240985219,11.57859838169606,10.112504113309276,101.61046072897075,1.5471653941440189,805.9262174067778,200.0275264853209,577.8882002180598,798.2782336660429,52.507424785805014,91.23714996912938,264.7992243993015,900.3349307787624,595.8534253762876,959.0057925631664,106.37308483584124,27.43812546589757,76.85156636196875,578.3032896257928,3.5660364459070877,565.0088555553342,42.52766484446255,804.8768924898169,342.5170805241205,822.6412371178395,852.6704991562849,1000.1379811486609,377.0517945726737,391.16754518411636,169.24255147609287,730.6266342169812,339.3619032377528,961.2981924325645,294.744253680847,234.11044618252768,1030.812599273669,139.29140873465724,721.8645532125171,205.3376891685414,961.8417026396755,645.8811312807092,890.7155813655698,8.236257958594807,229.84461747883773,1047.2080062068674,900.6842456903825,1077.770613413235,222.09419299905542,396.53400501541586,171.2768438984208,530.0419631898402,386.8924010493118,47.44929055899512,462.49741260475116,975.8895713869349,783.7320563573815,360.61654944922714,861.0480667790798,1061.060255088684,655.7950515449492,954.4882072100653,789.9895565594892,371.1304346539222,752.0878192105981,590.0294867478707,204.398052930424,446.9895380290516,840.9430772660633,508.4466322625949,975.6674089115918,162.51128152326424,130.4784546219972,331.1220550570194,330.148196686752,796.027554304132,163.6956572852001,99.96542676543753,138.66978829106841,725.8234395875032,273.0734699814931,483.8097922131608,215.14460656238327,671.2063582692208,271.316713694426,239.35043795252142,375.8500878492841,653.5770974286795,316.5860547979709,308.486573774539,704.4505890477016,68.22948499929126,1031.8129243454378
4,Cebu City,Cebu City,10.32,123.75,563.7836205825639,422.0419590931468,414.6514831982248,568.2051914573084,0.0,550.3415638187129,551.3873112413889,553.680672087688,227.1731452079285,572.3367537689056,492.4597136462729,553.0000204433045,556.4826863204559,95.94073615641422,136.4564611329676,538.3112049272111,21.76333512564177,637.0954155207256,560.84023311595,557.0957367620948,558.1758258195514,668.8071320571232,569.7205267936481,248.81400736085558,758.5170492308947,19.722351635040653,238.78645382159016,620.5963230421142,491.6403209118937,372.5103111725435,349.05510565806856,551.1179940543896,391.27569270722046,463.39318077405136,595.4990859737533,627.0770495398134,170.61086848518008,571.4064247772508,121.14835683956623,540.1362233702674,279.317022060696,312.4653294641115,264.2360584046398,284.4749063708209,434.1965201014185,296.4451688127123,178.3665009892637,735.939920498182,200.03043813237204,839.706592879032,396.5796954260645,785.4486311823457,746.0864030692883,463.3601797608669,443.3407666269042,197.8366729924333,763.4402231631782,567.7346263826175,122.26839659690876,447.582861231251,560.4346787941364,792.5571562775741,480.625159782686,351.4119663630767,733.5029177705263,430.61733707906654,939.5835602669704,738.9761502734821,203.86966099448378,217.62095287635557,597.6319823524965,260.74012312776676,420.8202262195768,309.7526561027913,215.589609374443,304.6269751486863,498.53857544756914,122.21172518242561,388.11439719021877,236.35020167586376,366.2358903767601,204.67216995679476,233.31067697291206,740.3884582816776,203.2758337205063,301.7771526108074,159.59081150353987,416.6666316583599,405.91378974401636,690.8642381958714,884.4504468754877,877.0332058760877,252.47213857984073,471.2412798270321,648.5200716185425,649.445935107958,159.540268261927,295.21291943559464,129.54596021722708,729.2419014032121,128.1238764585276,810.1198448145175,774.1642401640631,900.1429438478161,1142.4046203627674,377.80742539602215,832.0639622550233,199.5667660468695,500.06251529339244,472.3085114097957
5,Antipolo,Antipolo,14.5842,121.1763,15.67122178407402,859.6065762042217,964.9735796391808,23.37182020786732,550.3415638187129,0.0,15.353869475332976,11.058849483899815,777.0378710056888,24.734583726913744,1037.4325313399872,21.946104133940562,16.948286701767366,475.2513924867986,455.49823991723076,26.46619391836118,562.2916761895568,89.22793763293593,10.99682238583559,19.35083343708828,15.75072170435109,118.48774226045744,24.751749601730822,786.4626252911238,212.61433844282269,559.5699043315049,781.8782722449636,72.82734266910694,85.98946256235124,241.61941285818762,884.8706424291678,598.7108622703673,940.6695632345787,87.05253409511167,48.68443215307309,100.19826857399886,556.7467188311589,26.85638435716473,544.3074659877075,47.2453211907785,790.7030671243236,319.60681148617863,806.3949601340847,834.687643493332,983.1061583029194,354.139887656356,374.1349025822918,185.66678906788817,710.2700883734237,341.97964587997353,944.471467711757,295.2029558882676,236.45259518918402,1012.3463116092305,130.12091549721544,707.2509283860707,217.83198205835114,954.7139500184769,630.5873531212823,880.9559545313667,15.89614448309287,244.23937487005944,1030.0481656357583,885.3792965445422,1073.5064857182224,198.75593744772513,406.5915967504233,188.68210048406362,507.9100799035191,365.7762327897823,70.34572957006229,439.70635769229773,960.2351625980656,771.8168747179873,345.0271943275345,841.4291710620546,1044.6470348412392,635.9558239542979,935.7913416115848,770.3542349493941,347.7586375373797,736.4333127655761,567.6248432918744,210.8221693906195,435.0703723371526,820.5081762709867,487.11007093063444,959.6110971683617,144.49556918567896,152.94830841890564,343.05527495995216,340.5663026649545,780.7942395678186,163.7752638378773,106.9807869244497,136.97482152846166,707.3432185893344,255.7228222068239,469.1785172000478,217.35407108710427,655.3290249927414,279.4449276608485,246.1743519899564,382.4779184930983,657.6486387660282,293.2154096054265,314.2266095469547,683.5450535725568,53.246217280880934,1015.7637494634317
6,Taguig City,Taguig City,14.52,121.05,14.457843705175156,854.2148544472341,965.8427724257895,16.824701678387413,551.3873112413889,15.353869475332976,0.0,5.330676361646757,777.6759498630913,21.385371024693637,1036.9011052662238,6.64946343448048,5.11170973765435,474.53678691426916,453.5768845914242,15.567289730237961,563.8331558633278,85.82139357522709,15.42425166582366,6.331800155733269,7.010356796751499,118.32252930617825,18.334023459973896,789.2621910956473,215.98757696392474,561.0927145770446,781.4921613005511,69.27143714372833,76.91362361874054,251.02334940622276,883.6387387930886,586.3439870849949,942.2062582685185,89.88086558799675,44.17052768134524,89.7134330008551,562.3941415081252,20.047552571453714,548.6911974365489,32.98501744624437,788.3683437086431,328.05175911277166,805.8667289814415,835.854266343566,983.3214106246978,362.5736143296965,374.3457196113763,185.9496599373406,714.179468329425,351.55423675731333,944.4894055830721,305.79830852635854,246.07732545005172,1014.0214325202428,123.7790281387058,705.2798779576726,221.27746091944175,947.3965391488451,629.1981790256119,875.328707038207,9.585179145609553,246.25189108934836,1030.3879166885865,884.0075582696462,1064.5415523190563,210.29520808679993,411.8403496053258,188.074337119738,514.5566260295388,370.7798840979054,58.71458093715559,447.7864931222467,959.1730243142555,767.713326809438,343.8812165777012,844.4117445844445,1044.276106465161,639.2133879266618,937.7173322099676,773.3585664922795,358.5861790091876,735.366703852265,574.7972207549562,218.20526818957094,430.93210237021384,824.5155179796803,492.42205554418103,958.9108420736225,145.73524281907874,146.04386784851405,346.97759430440107,345.54792458194083,779.3573869915032,152.28792463439228,113.72347020588346,148.27402518690295,709.0368798101151,256.2497501206993,467.2073417600789,227.0198205119091,654.460456231841,285.8770672831528,253.36635004869373,389.87552421969735,666.5576927170551,303.97754118731,322.10282714896283,688.2023816737518,51.40893317264613,1015.0576681864299
7,Pasig City,Pasig City,14.5605,121.0765,10.429690507115655,858.3059081510372,968.2109749151585,15.177726776694758,553.680672087688,11.058849483899815,5.330676361646757,0.0,780.1094088442949,18.665651880478762,1039.695861502542,11.303814657679414,5.945148727395752,477.35750958276407,456.74254724880586,20.27247029242635,565.9709158096247,83.96407825092054,10.26816711972625,8.315775494725155,5.453836353573576,115.50308876512557,16.719570410583536,791.0031769852129,212.27735896998254,563.2362010136789,784.2360541302145,67.39819833075008,81.64543643024052,250.22317945840538,886.6337302106983,591.6369024665843,944.363702825864,91.3581518325914,42.44779759680125,90.75949056503288,563.1260681445802,18.703502142307045,549.8762953297309,38.306265814561186,791.670822668321,327.6707688090301,808.6537196947638,838.1253668254262,985.8911089282697,362.20314786866015,376.87535696822675,183.07296602628193,715.5405311762969,346.5663252028719,947.1177862519256,300.66191242589485,241.06994029093002,1016.1366081060628,127.97315230720568,708.4778847915414,217.5511854525035,951.92089137951,632.227343049023,879.4759346629097,6.959629408153243,242.91510668351864,1032.9208776606818,887.0427054017913,1069.3877773185216,208.51523742291866,407.7157164186936,185.4665708403338,514.9103671067772,371.7232375190362,60.28303755749878,447.5708378166835,962.1211500670144,771.4843078218646,346.8085895655894,846.0937410567172,1047.0234600974031,640.793174304543,939.7498159329518,775.0304990035539,357.1725147628705,738.3084297836506,574.9526917815592,213.58386605205482,434.69087744395154,825.8473529522836,493.2704475989805,961.7534032202799,147.83903044978138,145.59546218347316,343.1655374890422,341.4772160004548,782.4075172004049,157.4758694192083,109.16335550423396,143.0382899887507,711.1352822985942,258.65158347599544,470.3885018971443,222.00301755917945,657.3404612394853,281.4680672364871,248.792425502165,385.2810999611429,661.6938070595652,302.58655861132144,317.40716901176415,689.3000145550218,54.14422542377386,1017.9033578138897
8,Cagayan de Oro,Cagayan de Oro,8.48,124.65,790.2789695580614,333.38018958833135,188.5085349631731,794.5006268390143,227.1731452079285,777.0378710056888,777.6759498630913,780.1094088442949,0.0,798.7416289036895,268.61331489274477,779.0794002898782,782.756420196363,307.1727023260177,337.69370836694196,764.3268123516518,217.82063614512393,863.2123599078881,787.4576470456226,783.2959940374215,784.5139638836048,895.4266669508672,796.005986988044,111.09281304306363,985.6815084312326,220.35146215365324,52.050808149233355,846.7652408086096,715.7688530699318,593.8965027513309,146.87030001874223,662.9592640547705,171.54919983522922,690.2079865944752,821.6981982781108,851.3387131325038,309.2835018699149,797.6531512759108,281.4284183435689,765.2178911766276,152.0295033250371,526.7243498679612,66.52396282141713,64.20546349764153,207.260206561696,504.66111372701965,403.43634274807687,962.6987856984375,172.7150422621768,1063.5688789344267,170.65637594594156,1009.2420443904564,971.7701552086183,243.32864221134187,666.640481911909,144.45727403607097,990.6088621698457,487.98091520295145,173.94118083696043,355.560889822,786.8131416514955,1019.653978178983,253.46429481307504,152.46856833737613,661.1710866148649,653.1215734961855,1166.0640768555127,965.5409848116208,367.8056567901151,437.37111314063895,822.4834712071776,446.94084285384,205.78442724493712,240.00860400717417,437.09751184037077,140.39602410354547,273.5571468692912,184.7794501548046,174.75293063296004,120.06306122772104,568.9423778927188,93.48236664068043,358.4572534932567,967.1785507804027,389.26235266158835,182.7440023954816,345.39901294398186,196.78122951535258,632.5435686241516,915.4160410629635,1111.5135708419718,1103.8601596904018,105.04631629265462,688.5201780789387,875.6904528740492,876.0585520587484,85.96479369154777,521.4578676350883,325.7260979482903,955.1978627984322,140.99879566922996,1036.7569951853686,1000.7678944879382,1125.442068756809,1361.7890720444266,590.7152438432307,1057.7407849583826,214.2067293444877,726.2826752031908,250.36868289507603
9,Valenzuela,Valenzuela,14.7,120.98,9.144952120660806,875.0676637610395,986.8570170155755,5.662848873748053,572.3367537689056,24.734583726913744,21.385371024693637,18.665651880478762,798.7416289036895,0.0,1058.1883710596983,22.184568443313626,16.545092033783916,495.8324790281435,474.95984595359016,36.37130526710069,584.636566019122,65.3959815431818,14.054537349074478,16.817474102329435,14.386878577187922,97.0009693868786,4.940748894620903,809.6095526342416,194.80929173979203,581.901829130619,802.7546480301643,48.84691304927528,96.76359266700443,266.25324164611567,904.9954868753935,601.3684816687099,963.0292869217285,109.93418978852219,24.135423604084387,76.64173052218345,581.1168229012967,5.5391722468267774,568.2250526551625,48.17993044891436,809.7499548662337,344.33535449470605,827.149785773269,856.784626356625,1004.4845092708166,378.86781903680065,395.47805890648,164.61431443814865,733.9887616876537,333.70589502787084,965.68916157988,289.1435312468318,228.4643558230679,1034.8019179764901,144.6147351027944,726.6648634383632,200.11114934812173,967.398330269336,650.5620616058554,896.1001087811071,11.95334766601306,224.8837215453871,1051.526571154848,905.3734351539283,1083.420752409012,222.5966314031116,391.11358866532623,166.87092487745423,532.5137675046882,389.9141999545433,48.45314022894299,464.44094131563685,980.5171888075029,788.9039976555792,365.2149984279293,864.681258115275,1065.5411439662641,659.3458164101113,958.410738607117,793.61526242583,371.89690103967075,756.7082893808307,592.308789710238,198.76260206425357,452.1409043053652,844.2772052307577,511.370570023116,980.2181778751011,166.5044036368074,128.22509515402848,325.8676900790365,324.7489853597233,800.7260100258268,169.34903307898432,94.31652376614078,133.24296289440653,729.8002788022161,277.2858001959439,488.59133851611966,209.50331197733385,675.7809872096465,265.75604334854665,233.73145119659463,370.23650786117844,647.9169442527298,317.4062338439701,302.8444260179887,707.5836747301702,72.62085113234124,1036.3663947129055
