,index j,Name of City,city id,Lat,Lon,Population (what year?),Status,Average Yearly Budget of a Person to buy Fish,Minimum Fish Consumption,Maximum Fish Consumption,Units,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,11,Cagayan de Oro,1608831546,8.48,124.65,728402,admin,"4,198.21",,,,788.9261574,790.2789696,333.3801896,188.508535,794.5006268,1102.491322,227.1731452,777.037871,777.6759499,780.1094088,0,798.7416289,765.8361602,268.6133149,779.0794003,776.9438512,791.5127496,806.206101,782.7564202,774.8964225,307.1727023,337.6937084,764.3268124,742.4116222,217.8206361,775.4213603,863.2123599,787.457647,773.9917203,793.1652386,783.295994,784.5139639,754.7169957,757.8972226,788.2478622,777.9240894,895.426667,796.005987,778.6722697,716.4830546,111.092813,985.6815084,220.3514622,52.05080815,750.1539926,846.7652408,715.7688531,593.8965028,876.302376,761.8003865,146.8703,763.3815226,776.8993388,662.9592641,171.5491998,754.4808434,870.4011568,811.351692,719.5226036,690.2079866,790.827254,216.4002692,821.6981983,851.3387131,806.0497517,309.2835019,797.6531513,281.4284183,803.252685,728.5580132,80.46354713,765.2178912,152.0295033,526.7243499,173.4523056,238.0469759,66.52396282,950.8186891,785.5006408,261.0721627,221.2671811,730.2608864,303.107576,64.2054635,207.2602066,399.2272565,504.6611137,403.4363427,962.6987857,841.7895955,848.3751462,255.5328458,759.5744064,841.9490791,172.7150423,876.3250756,827.4251147,1063.568879,698.8274094,774.8425645
11,12,Valenzuela,1608492120,14.7,120.98,714978,admin,"4,198.21",,,,11.59042634,9.144952121,875.0676638,986.857017,5.662848874,377.2262235,572.3367538,24.73458373,21.38537102,18.66565188,798.7416289,0,41.36682717,1058.188371,22.18456844,26.47251666,9.334532655,14.48124967,16.54509203,27.79873166,495.832479,474.959846,36.37130527,57.15990853,584.636566,30.41509689,65.39598154,14.05453735,37.17465758,15.22039418,16.8174741,14.38687858,44.86126658,42.52705021,11.03629598,21.92552517,97.00096939,4.940748895,20.87646733,86.63893909,809.6095526,194.8092917,581.9018291,802.754648,49.76939505,48.84691305,96.76359267,266.2532416,87.9427018,38.91884376,904.9954869,35.83510239,36.62331942,601.3684817,963.0292869,52.1976748,72.03994237,13.51557596,79.29822655,109.9341898,15.26609258,583.5503966,24.1354236,76.64173052,7.314766493,581.1168229,5.539172247,568.2250527,4.640880446,72.22785027,878.5574239,48.17993045,809.7499549,344.3353545,969.4536614,560.9723766,827.1497858,152.4107738,13.78036105,561.5868569,1004.962344,71.33089479,504.7161323,856.7846264,1004.484509,488.7049003,378.867819,395.4780589,164.6143144,48.19483684,49.73273,1043.422916,44.53005196,49.57103482,733.9887617,77.74063405,29.49251139,333.705895,100.4978026,47.921201
12,13,Dasmarinas,1608418544,14.33,120.94,703141,0,"3,498.51",,,,29.82577892,37.41717221,834.9804833,954.2257636,35.72865377,418.2892616,540.3299793,38.03045164,24.22138371,29.54586038,765.8361602,41.36682717,0,1023.35803,19.78535902,14.95681525,32.04506998,54.98758844,26.68831783,14.02166666,461.1672586,438.664682,13.08902968,27.63896754,553.4692868,11.09183095,98.57421327,39.5324506,8.525621781,47.49752663,25.30170486,29.43942647,19.42462701,15.08293305,31.09702802,33.72077473,134.0258483,36.75744028,32.98246035,49.43751306,780.5367452,234.4617737,550.7054755,768.2567937,20.85053547,82.70822215,55.97280402,254.7717728,129.1096299,13.12703205,869.243668,30.30385197,11.78578334,562.1782009,931.542409,11.67855161,106.2635066,54.52800875,50.57904334,85.76008685,45.25306431,551.6898563,58.73006129,90.19774143,47.61053082,558.4131082,37.4397791,542.666875,44.49099317,37.97455392,845.9281494,9.370013989,772.6334536,329.5798852,937.3859927,528.6980742,792.4283225,188.6875539,28.85952366,525.0749113,969.832901,35.84968912,469.2449379,824.7190471,970.7971013,469.1655754,363.9508512,362.4562013,201.2711866,76.08724641,85.61883796,1008.482003,7.27449233,90.80627105,707.2148896,114.7796888,69.51237652,374.7309694,75.16115998,18.34912102
13,14,General Santos,1608171585,6.12,125.17,697315,admin,"4,198.21",,,,1047.926321,1050.012139,352.7505696,115.8220305,1053.672311,1370.682574,492.4597136,1037.432531,1036.901105,1039.695862,268.6133149,1058.188371,1023.35803,0,1037.782762,1035.271259,1050.525861,1066.547178,1041.92161,1033.288615,562.3686374,585.9798064,1022.951152,1001.264784,485.1834946,1033.38377,1121.650674,1047.564288,1031.267919,1053.673339,1042.273662,1043.838875,1013.6206,1016.533388,1047.463128,1037.950159,1155.185325,1055.145524,1038.611727,973.9439729,317.1354945,1248.203817,487.6060389,255.6322067,1008.897897,1105.399881,971.1793207,862.2380249,1138.363001,1020.393044,159.0108558,1023.374464,1034.02727,814.0249918,163.5792938,1011.807642,1129.097439,1071.126514,978.9382775,951.3236476,1051.263355,482.3257818,1080.510298,1106.019151,1065.499148,569.6243978,1056.686164,547.3135304,1062.603691,986.8492671,198.5768352,1021.918741,269.5271163,795.2808257,142.7865612,502.3416801,231.0442412,1210.598196,1044.692847,501.1378522,55.1018433,988.304659,554.2511476,226.4735465,72.82144522,664.5604127,772.7561613,663.6586278,1222.767713,1099.424148,1107.449012,15.67985696,1017.438437,1103.007266,409.6257665,1135.925837,1087.300189,1331.481867,959.4187937,1030.910082
14,15,City of Paranaque,1608379532,14.5008,120.9915,689992,admin,"4,198.21",,,,10.67505276,17.65095957,852.962029,967.3260833,16.75084884,398.5473327,553.0000204,21.94610413,6.649463434,11.30381466,779.0794003,22.18456844,19.78535902,1037.782762,0,5.165446932,13.18715589,35.29291171,6.999591789,5.78280623,475.4225963,453.9470913,14.83611608,36.66918693,565.6506911,9.864983389,84.13309066,20.28731544,18.01624211,28.02249663,5.546771525,9.732865897,24.40676773,21.24942619,11.43338666,16.97583474,117.8247097,18.02387383,15.82752679,64.89858517,791.566823,216.7470583,562.9030561,782.4590467,28.93364415,67.70861767,74.59518612,256.0163643,110.1124046,17.40170512,884.2305725,22.26426336,19.02804477,581.7267582,943.9721785,30.09739396,91.38576781,35.65481046,59.88425881,92.83280367,25.92990605,564.2767541,42.72855938,84.84070733,28.98898745,565.8781586,19.20990495,551.6756897,25.87408974,51.00924562,859.0171052,27.82164272,788.4895493,332.6636257,950.1542446,541.5231557,806.7698595,173.0378961,9.078846532,540.5132175,984.4385455,49.81037594,484.0070147,837.4743402,984.5261281,474.8953921,367.169069,375.666914,185.4211278,63.64335021,69.69887099,1022.973749,22.34670065,71.73476215,716.9462934,98.49513159,51.32475504,354.9813056,82.77812514,31.19651156
15,16,Bacoor,1608869358,14.4624,120.9645,664625,0,"3,498.51",,,,14.89626057,22.69237523,849.151183,965.2419119,20.8685652,403.3461444,551.0317422,26.51792105,11.21376042,16.25881455,776.9438512,26.47251666,14.95681525,1035.271259,5.165446932,0,17.1928415,40.0400441,12.14362192,2.164841598,472.9427933,451.1237911,12.98963789,34.87994966,563.8345775,4.709774923,86.40200602,25.45228258,12.91352518,33.17326657,10.46351842,14.85619224,23.04830139,19.27408716,16.16281813,21.63508338,120.8132878,21.97745432,20.57521473,61.75936026,790.1141934,220.3950141,561.0817415,780.0142449,27.07603783,70.13792863,70.42377044,257.1527437,114.353412,15.36355281,881.5274992,24.5156026,14.1805044,576.6289572,942.0978504,25.79979202,93.83270782,39.76625285,58.42183924,92.18344566,31.09386696,562.3352485,45.44383447,84.22329206,32.92765788,565.4395507,22.84926039,550.7987541,29.79664233,48.44931861,856.9333638,22.69299011,785.4842058,333.3603592,948.1743484,539.5055608,804.2800882,175.856134,14.04060388,537.6430977,981.8658206,46.98545789,481.3611221,835.4949506,982.2411576,474.9221959,367.8412305,373.5084513,188.3198553,65.11867631,72.49653052,1020.439721,18.45844688,76.00509286,715.8736773,101.4945503,55.08840078,359.7922795,81.93481926,26.25969127
16,17,Tondo,1608204201,14.617,120.967,654220,0,"3,498.51",,,,2.600306458,9.406099051,866.1258081,979.7060323,3.683600405,386.5303903,565.2841136,22.81493459,14.00443668,13.35348703,791.5127496,9.334532655,32.04506998,1050.525861,13.18715589,17.1928415,0,23.45788534,8.900975894,18.62219826,488.1573511,466.9066138,27.82678397,49.26107929,577.7778248,21.0806468,71.8583858,14.7721978,27.96802906,20.05116969,8.253149969,7.929893595,36.90543698,34.15338009,4.090729139,18.58530908,104.857848,4.840327426,17.27351878,78.04469292,803.265129,203.5600137,575.0359082,795.155752,41.66091306,55.3239293,87.58266381,263.5494128,97.16216488,30.39908824,897.1084974,30.41497441,27.62249238,592.3738743,956.142652,42.97435607,78.89748514,22.58512039,72.02016894,103.8617613,18.88409546,576.5333055,30.21919483,77.58588873,15.82075853,576.1735553,6.160320277,562.6336609,12.69739724,63.968627,871.3993789,38.90109833,801.534593,341.0234584,962.4326652,553.8564419,819.500398,160.1555589,6.354047625,553.4953968,997.2269917,62.88178968,496.8577092,849.7555041,997.0879399,484.4356418,375.5556519,388.1475926,172.4824613,52.61524213,56.93937419,1035.733707,35.42742768,58.81241548,728.1590426,85.53600949,38.13861009,343.0034317,94.1062233,39.24965003
17,18,San Jose del Monte,1608850554,14.8139,121.0453,651813,0,"3,498.51",,,,25.33351133,18.22638404,886.6802365,994.1322895,19.94287357,363.30622,579.4957732,29.17000343,32.68409959,28.37593922,806.206101,14.48124967,54.98758844,1066.547178,35.29291171,40.0400441,23.45788534,0,28.71464227,41.06920856,504.3263294,484.3060326,48.2501293,67.38908639,591.4003592,44.29020857,61.81727666,19.15066157,51.42181905,13.17308974,29.746144,26.06050233,55.50445733,53.93665458,23.89384544,28.78055355,89.37642223,19.41632144,28.28558437,97.86433239,815.3026335,184.1642487,588.6809564,811.0050668,60.53383191,46.02109504,109.5134932,265.9956356,75.72606492,50.67972012,913.8716685,43.284144,51.02531687,615.7962016,969.7669019,65.29994189,67.35192751,9.194585255,88.03043493,116.1549511,15.3979631,590.6333003,25.35394253,82.28533423,12.15341895,584.2961232,19.79955301,572.5774101,13.85743232,82.88488747,885.8618084,62.2930164,819.4045039,344.9248401,976.4635193,568.2645516,835.5066024,144.652678,26.25394927,570.9936634,1013.487312,82.38102071,513.6099583,863.8272769,1012.273287,490.7613162,379.4132595,403.2948365,156.4968838,49.56710552,45.08155456,1051.841961,57.35067909,37.60077097,738.7237158,70.5773412,21.98080956,319.7540524,107.3812841,62.40130545
18,19,Makati City,1608725647,14.5567,121.0214,629616,admin,"4,198.21",,,,6.444235214,10.74789536,858.6726516,970.9301618,11.75667833,391.7896124,556.4826863,16.9482867,5.111709738,5.945148727,782.7564202,16.54509203,26.68831783,1041.92161,6.999591789,12.14362192,8.900975894,28.71464227,0,12.67395484,479.5547892,458.5039664,19.88797969,40.71697141,568.9389645,16.80984667,80.71139645,13.38508485,24.85617189,21.029645,2.420714675,2.751193875,28.38073246,25.98566498,5.557788986,12.03737051,113.3354607,13.25089062,10.7141127,70.11338444,794.3715346,211.3275804,566.198238,786.5238571,33.25129862,64.16316483,80.83827655,255.4689344,104.0265623,22.41599758,888.6118303,21.77119285,25.57394391,588.7204716,947.3105417,36.60342507,87.69157331,30.01325114,63.23615449,94.96458531,18.97241519,567.7243377,39.06088293,85.33812676,23.74234979,567.3758846,14.93818051,553.7529377,20.74464729,55.69281149,862.6248512,34.82081401,793.2449318,332.6843811,953.6267071,545.0694046,810.889592,168.6981399,2.781339407,545.1182207,988.6550953,54.78754121,488.3431198,840.950845,988.3829397,475.7861203,367.2114596,379.4160803,180.9669853,61.45260365,65.6313888,1027.141063,28.63661573,65.66852347,719.2629792,94.03572038,46.03564573,348.2128722,85.20651949,37.75710611
19,20,Las Pinas City,1608544537,14.45,120.98,606293,0,"3,498.51",,,,16.21502167,23.39555053,847.5463325,963.1872696,22.26501431,404.3301381,548.9600267,25.86854957,10.83419777,16.08998525,774.8964225,27.79873166,14.02166666,1033.288615,5.78280623,2.164841598,18.62219826,41.06920856,12.67395484,0,470.9522849,449.2053905,10.83584853,32.75761177,561.7440021,5.180293794,88.40892482,25.71733207,13.28780305,33.59064147,11.32602279,15.42484702,20.88874943,17.14796292,17.1908373,21.09923435,122.6732516,23.44993627,20.12892489,59.89881791,787.9880662,222.0556013,558.9917637,778.0185008,24.95236859,72.11167671,68.97457458,255.1017578,115.7390994,13.23191101,879.5838365,22.81729114,14.99936952,576.0855638,940.0151247,24.40211271,95.80902949,41.1983526,56.28294389,90.01863757,31.415339,560.2600826,47.34518317,86.35318259,34.43068341,563.2748741,24.44596954,548.6397307,31.30149816,46.44584065,854.8784777,22.30981549,783.6122109,331.2557938,946.1051752,537.4404293,802.2928392,177.7624163,14.86010047,535.7363628,979.8951373,45.03671568,479.4037202,833.4255216,980.2177522,472.7689733,365.7338556,371.4625165,190.2075229,67.22586495,74.39359919,1018.461433,16.81778515,77.36964582,713.7226501,103.3489606,56.68269447,360.7639838,79.7717715,26.8434082
