Name of Processing Facility,Lat,Lon
General Santos Fish Port Complex (GSFPC),6.036514705,125.1434004
Navotas Fisheries Port Complex,14.64328065,120.9513921
Zamboanga Fish Port Complex,7.071177196,122.2117853
Davao Fish Port Complex,7.004787763,125.505901
